full_name,age,position,yellow_cards_overall,red_cards_overall,assists_per_90_overall,goals_per_90_overall
Edward Nketiah,23,Forward,0,0,0,1.45
Étienne Capoue,34,Midfielder,15,1,0.09,0.03
Fabinho,29,Midfielder,6,0,0.09,0.04
Fernandinho,37,Midfielder,5,0,0.11,0.04
Fernando Llorente Torres,37,Forward,2,0,0.53,0.13
Floyd Ayité,33,Midfielder,0,0,0,0.19
Fred,29,Midfielder,2,0,0.09,0.09
Harry Winks,26,Midfielder,4,0,0,0.06
Harvey Barnes,24,Midfielder,0,0,0.18,0.09
Hélder Wander Sousa Azevedo Costa,28,Midfielder,3,0,0.13,0.07
Isaac Hayden,27,Midfielder,4,1,0.19,0.05
Isaac Mbenza,26,Forward,1,0,0.09,0.09
Isaac Success,26,Forward,4,0,0.09,0.09
Jack Cork,33,Midfielder,6,0,0.05,0.03
Jean Michau00ebl Seri,31,Midfielder,6,0,0.08,0.04
João Moutinho,36,Midfielder,4,0,0.24,0.03
Jonjo Shelvey,30,Midfielder,1,0,0.1,0.1
Jordan Ayew,31,Forward,3,0,0.15,0.08
Jordan Henderson,32,Midfielder,3,1,0.14,0.05
Jordon Ibe,26,Midfielder,1,0,0.11,0.11
Juninho Bacuna,25,Midfielder,4,0,0,0.06
Kadeem Harris,29,Midfielder,1,0,0,0.25
Kelechi Iheanacho,26,Forward,2,0,0.29,0.1
Ken Sema,29,Midfielder,1,0,0.24,0.12
Kenneth Dahrup Zohorè,28,Forward,1,0,0.12,0.12
Kiko Femenía,31,Midfielder,1,0,0.04,0.04
Luciano Vietto,28,Forward,1,0,0.37,0.09
Lys Mousset,26,Forward,1,0,0,0.26
Manolo Gabbiadini,30,Forward,0,0,0,0.19
Manuel Lanzini,29,Midfielder,2,0,0.13,0.13
Mario Lemina,29,Midfielder,5,0,0.06,0.06
Matěj Vydra,30,Forward,1,0,0.29,0.29
Max Meyer,27,Midfielder,3,0,0.13,0.06
Michael Obafemi,22,Forward,1,0,0.67,0.67
Nemanja Matić,34,Midfielder,8,1,0,0.04
Oriol Romeu,31,Midfielder,11,0,0,0.04
Phil Foden,22,Midfielder,0,0,0,0.28
Rachid Ghezzal,30,Forward,3,0,0,0.12
Robert Kenedy Nunes do Nascimento,26,Midfielder,1,0,0.07,0.07
Ryan Fredericks,30,Midfielder,5,0,0,0.08
Sean Longstaff,25,Midfielder,2,0,0,0.13
Solly March,28,Midfielder,1,0,0.18,0.04
Tom Cairney,31,Midfielder,0,0,0.04,0.04
Tom Cleverley,33,Midfielder,2,0,0,0.19
Victor Wanyama,31,Midfielder,2,0,0,0.18
Yoshinori Muto,30,Forward,1,0,0,0.17
Aaron Rowe,22,Forward,0,0,0,0
Aaron Wan-Bissaka,24,Midfielder,5,1,0.09,0
Abdelhamid Sabiri,25,Midfielder,0,0,0,0
Adalberto Peñaranda Maestre,25,Forward,0,0,0,0
Adam Lallana,34,Midfielder,1,0,0,0
Adama Diakhaby,26,Forward,1,0,0,0
Ademola Lookman,25,Forward,0,0,0.3,0
Adrien Sebastian Perruchet Silva,33,Midfielder,0,0,0,0
Alberto Moreno,30,Defender,0,0,0,0
Alex Oxlade-Chamberlain,29,Midfielder,0,0,0,0
Alexander Sørloth,26,Forward,0,0,0,0
Alexandre Nascimento Costa Silva,25,Forward,0,0,0,0
Alfie Jones,25,Defender,0,0,0,0
Ali Koiki,22,Defender,0,0,0,0
Alireza Jahanbakhsh,29,Forward,2,0,0,0
André-Frank Zambo Anguissa,26,Midfielder,3,1,0,0
Andrew Surman,36,Midfielder,2,0,0,0
Andy Carroll,33,Forward,2,0,0,0
Angel Gomes,22,Midfielder,0,0,0,0
Anthony Driscoll-Glennon,22,Defender,0,0,0,0
Antonio Barreca,27,Defender,0,0,0,0
Bakary Sako,34,Midfielder,0,0,0,0
Ben Johnson,22,Forward,0,0,0,0
Ben White,25,Defender,0,0,0,0
Ben Wilmot,23,Defender,0,0,0,0
Bright Enobakhare,24,Forward,0,0,0,0
Callum Hudson-Odoi,21,Midfielder,0,0,0.23,0
Callum Roberts,25,Forward,0,0,0,0
Callum Slattery,23,Midfielder,0,0,0,0
Cameron John,23,Defender,0,0,0,0
Carl Jenkinson,30,Defender,0,0,0,0
Carlos Sánchez,36,Midfielder,0,0,0,0
Cesc Fabregas,35,Midfielder,1,0,0,0
Cheikhou Kouyaté,32,Midfielder,3,0,0.09,0
Christian Fuchs,36,Defender,0,0,0,0
